CSC,384,01,23174,Database Design,25,Flint,3,Winter,2018
CSC,430,01,28523,Info Storage and Retrieval,25,Flint,3,Winter,2018
CIS,300,01,27269,Enterprise Architecture,25,Flint,3,Winter,2018
CIS,363,01,25150,Commercial Applications of Web Programming,28,Flint,3,Winter,2018
MTH,122,01,20764,Calculus II,35,Flint,4,Winter,2018
MTH,122,02,20876,Calculus II,35,Flint,4,Winter,2018
MTH,327,01,28221,Coding Theory,25,Flint,3,Winter,2018
ART,131,01,23514,Drawing for Design,18,Flint,3,Winter,2018
